order_id,product_id,dealer_id,order_date,requested_qty,region,customer_segment,order_status
ORD-0000001,SPR-09,DLR-0706,2026-03-16,3,Europe,Dealer Stock,Committed
ORD-0000002,BAL-06,DLR-0127,2025-06-13,3,North America,Commercial Farm,Shipped
ORD-0000003,TIL-10,DLR-0788,2026-08-08,8,Europe,Export,Committed
ORD-0000004,CMB-07,DLR-0205,2025-01-06,1,North America,Commercial Farm,Open
ORD-0000005,HRV-09,DLR-0408,2025-03-30,4,Europe,Commercial Farm,Shipped
ORD-0000006,BAL-07,DLR-0144,2026-07-25,2,Europe,Commercial Farm,Shipped
ORD-0000007,CMB-09,DLR-0471,2024-12-23,1,Europe,Commercial Farm,Committed
ORD-0000008,CMB-05,DLR-0232,2025-10-24,4,Asia-Pacific,Dealer Stock,Shipped
ORD-0000009,BAL-04,DLR-0325,2025-10-07,1,North America,Dealer Stock,Shipped
ORD-0000010,HRV-08,DLR-0161,2024-12-19,1,North America,Commercial Farm,Committed
ORD-0000011,PLN-05,DLR-0809,2026-05-08,1,Europe,Dealer Stock,Shipped
ORD-0000012,BAL-06,DLR-0472,2024-07-05,8,South America,,Committed
ORD-0000013,BAL-10,DLR-0342,2026-04-27,1,Asia-Pacific,Dealer Stock,Committed
ORD-0000014,BAL-06,DLR-0772,2024-04-23,2,South America,Commercial Farm,Shipped
ORD-0000015,TRC-08,DLR-0336,2024-02-22,1,Asia-Pacific,Dealer Stock,Cancelled
ORD-0000016,SPR-06,DLR-0559,2024-06-08,15,North America,Dealer Stock,Shipped
ORD-0000017,PLN-06,DLR-0043,2024-10-17,10,Europe,Dealer Stock,Committed
ORD-0000018,CMB-09,DLR-0355,2025-04-21,4,North America,Commercial Farm,Open
ORD-0000019,PLN-09,DLR-0668,2025-01-26,1,Asia-Pacific,Commercial Farm,Committed
ORD-0000020,HRV-01,DLR-0428,2026-05-24,3,Europe,Commercial Farm,Open
ORD-0000021,SPR-08,DLR-0306,2026-03-15,1,Europe,Commercial Farm,Cancelled
ORD-0000022,TIL-08,DLR-0680,2026-06-15,1,Europe,,Open
ORD-0000023,HRV-05,DLR-0352,2025-02-22,5,Europe,Commercial Farm,Shipped
ORD-0000024,TIL-05,DLR-0581,2024-07-16,1,South America,Export,Shipped
ORD-0000025,TIL-08,DLR-0169,2025-05-15,1,Europe,Dealer Stock,Shipped
ORD-0000026,CMB-04,DLR-0470,2025-12-20,1,North America,Dealer Stock,Shipped
ORD-0000027,TIL-09,DLR-0473,2024-08-25,4,Europe,Commercial Farm,Open
ORD-0000028,PLN-01,DLR-0629,2024-06-29,8,Europe,Dealer Stock,Committed
ORD-0000029,HRV-07,DLR-0576,2026-06-07,5,North America,Government,Shipped
ORD-0000030,HRV-05,DLR-0615,2026-07-29,2,North America,Commercial Farm,Shipped
ORD-0000031,BAL-05,DLR-0139,2026-01-14,1,Asia-Pacific,Commercial Farm,Shipped
ORD-0000032,TIL-02,DLR-0645,2026-06-08,1,North America,,Committed
