forecast_id,product_id,period,region,forecast_qty,forecast_type,forecast_version,created_date,planner_id
FC-0000001,HRV-01,2024-01,North America,49,Baseline,v1,2023-12-07,PLN-026
FC-0000002,HRV-01,2024-01,North America,56,Uplift,v3,2023-11-28,PLN-047
FC-0000003,HRV-01,2024-01,North America,43,Downside,v2,2023-12-06,PLN-010
FC-0000004,HRV-01,2024-02,North America,53,Baseline,v1,2023-12-27,PLN-019
FC-0000005,HRV-01,2024-03,North America,43,Baseline,v2,2024-01-06,PLN-044
FC-0000006,HRV-01,2024-04,North America,48,Baseline,v3,2024-03-12,PLN-036
FC-0000007,HRV-01,2024-05,North America,46,Baseline,,2024-03-04,PLN-026
FC-0000008,HRV-01,2024-05,North America,31,Downside,v2,2024-04-05,PLN-043
FC-0000009,HRV-01,2024-06,North America,46,Baseline,v2,2024-04-10,PLN-044
FC-0000010,HRV-01,2024-06,North America,57,Uplift,v1,2024-05-15,PLN-054
FC-0000011,HRV-01,2024-06,North America,29,Downside,v2,2024-05-01,PLN-023
FC-0000012,HRV-01,2024-07,North America,47,Baseline,v2,2024-06-04,PLN-032
FC-0000013,HRV-01,2024-08,North America,53,Baseline,v3,2024-06-07,PLN-028
FC-0000014,HRV-01,2024-08,North America,66,Uplift,v1,2024-06-30,PLN-004
FC-0000015,HRV-01,2024-09,North America,45,Baseline,v1,2024-07-11,PLN-017
FC-0000016,HRV-01,2024-09,North America,56,Uplift,v3,2024-08-22,
FC-0000017,HRV-01,2024-09,North America,27,Downside,v2,2024-08-18,PLN-053
FC-0000018,HRV-01,2024-10,North America,43,Baseline,v1,2024-08-20,PLN-031
FC-0000019,HRV-01,2024-10,North America,55,Uplift,v3,2024-09-20,PLN-023
FC-0000020,HRV-01,2024-11,North America,44,Baseline,v1,2024-09-05,PLN-006
FC-0000021,HRV-01,2024-11,North America,34,Downside,v3,2024-10-07,PLN-034
FC-0000022,HRV-01,2024-12,North America,49,Baseline,v3,2024-11-04,PLN-049
FC-0000023,HRV-01,2025-01,North America,48,Baseline,v3,2024-12-05,PLN-059
FC-0000024,HRV-01,2025-01,North America,54,Uplift,v1,2024-12-03,PLN-012
FC-0000025,HRV-01,2025-01,North America,35,Downside,v3,2024-12-16,PLN-050
FC-0000026,HRV-01,2025-02,North America,44,Baseline,v3,2025-01-08,PLN-055
FC-0000027,HRV-01,2025-02,North America,52,Uplift,v3,2025-01-10,PLN-026
FC-0000028,HRV-01,2025-02,North America,35,Downside,v1,2025-01-04,PLN-054
FC-0000029,HRV-01,2025-03,North America,43,Baseline,v2,2025-01-28,PLN-033
FC-0000030,HRV-01,2025-04,North America,40,Baseline,v3,2025-02-20,
FC-0000031,HRV-01,2025-04,North America,34,Downside,v1,2025-03-14,PLN-024
FC-0000032,HRV-01,2025-05,North America,46,Baseline,v1,2025-03-12,PLN-026
FC-0000033,HRV-01,2025-05,North America,58,Uplift,v2,2025-04-06,PLN-011
FC-0000034,HRV-01,2025-06,North America,46,Baseline,v3,2025-04-27,PLN-031
FC-0000035,HRV-01,2025-06,North America,62,Uplift,v2,2025-05-12,PLN-015
FC-0000036,HRV-01,2025-07,North America,42,Baseline,v3,2025-05-10,PLN-054
FC-0000037,HRV-01,2025-07,North America,52,Uplift,v3,2025-06-11,PLN-044
