inventory_id,part_id,plant_id,period,on_hand_qty,reserved_qty,safety_stock_qty,available_qty,stock_status
INV-0000001,FL-921,P1,2026-06,714,346.0,500,368,At Risk
INV-0000002,FL-921,P1,2026-07,691,266.0,500,425,At Risk
INV-0000003,FL-921,P1,2026-08,659,200.0,500,459,At Risk
INV-0000004,FL-921,P1,2026-09,764,,500,614,Adequate
INV-0000005,SC-1107,P1,2026-06,269,,150,203,Adequate
INV-0000006,SC-1107,P1,2026-07,275,65.0,150,210,Adequate
INV-0000007,SC-1107,P1,2026-08,234,29.0,150,205,Adequate
INV-0000008,SC-1107,P1,2026-09,307,41.0,150,266,Adequate
INV-0000009,EN-950,P1,2026-06,35,4.0,25,31,Adequate
INV-0000010,EN-950,P1,2026-07,31,4.0,25,27,Adequate
INV-0000011,EN-950,P1,2026-08,28,12.0,25,16,At Risk
INV-0000012,EN-950,P1,2026-09,23,7.0,25,16,At Risk
INV-0000013,EC-832,P1,2026-06,114,11.0,75,103,Adequate
INV-0000014,EC-832,P1,2026-07,102,36.0,75,66,At Risk
INV-0000015,EC-832,P1,2026-08,108,53.0,75,55,At Risk
INV-0000016,EC-832,P1,2026-09,96,10.0,75,86,Adequate
INV-0000017,SC-1038,P1,2026-06,117,,150,65,Below Safety Stock
INV-0000018,SC-1038,P1,2026-07,158,62.0,150,96,At Risk
INV-0000019,SC-1038,P1,2026-08,116,34.0,150,82,At Risk
INV-0000020,SC-1038,P1,2026-09,148,72.0,150,76,At Risk
INV-0000021,EN-924,P1,2026-06,55,8.0,25,47,Adequate
INV-0000022,EN-924,P1,2026-07,52,13.0,25,39,Adequate
INV-0000023,EN-924,P1,2026-08,66,29.0,25,37,Adequate
INV-0000024,EN-924,P1,2026-09,59,18.0,25,41,Adequate
INV-0000025,ST-1059,P1,2026-06,167,68.0,150,99,At Risk
INV-0000026,ST-1059,P1,2026-07,221,53.0,150,168,Adequate
INV-0000027,ST-1059,P1,2026-08,229,67.0,150,162,Adequate
INV-0000028,ST-1059,P1,2026-09,222,27.0,150,195,Adequate
INV-0000029,BR-556,P1,2026-06,178,52.0,75,126,Adequate
INV-0000030,BR-556,P1,2026-07,163,80.0,75,83,Adequate
INV-0000031,BR-556,P1,2026-08,145,33.0,75,112,Adequate
INV-0000032,BR-556,P1,2026-09,147,16.0,75,131,Adequate
INV-0000033,CB-786,P1,2026-06,34,3.0,25,31,Adequate
INV-0000034,CB-786,P1,2026-07,31,6.0,25,25,Adequate
INV-0000035,CB-786,P1,2026-08,37,12.0,25,25,Adequate
INV-0000036,CB-786,P1,2026-09,28,3.0,25,25,Adequate
INV-0000037,SC-659,P1,2026-06,201,63.0,150,138,At Risk
INV-0000038,SC-659,P1,2026-07,208,37.0,150,171,Adequate
INV-0000039,SC-659,P1,2026-08,177,32.0,150,145,At Risk
INV-0000040,SC-659,P1,2026-09,180,42.0,150,138,At Risk
INV-0000041,TR-1319,P1,2026-06,186,59.0,150,127,At Risk
INV-0000042,TR-1319,P1,2026-07,168,79.0,150,89,At Risk
INV-0000043,TR-1319,P1,2026-08,188,92.0,150,96,At Risk
