lane_id,origin_country,destination_plant_id,mode,period,avg_lead_time_days,risk_score,cost_index
LANE-002555,Germany,P11,Rail,2025-03,9,High,1.0
LANE-005943,Brazil,P6,Rail,2025-03,11,Medium,0.87
LANE-012036,Canada,P10,Air,2025-02,3,Low,2.23
LANE-013833,Spain,P9,Ocean,2026-05,27,Medium,0.51
LANE-014070,Spain,P12,Air,2025-12,2,Medium,3.67
LANE-015085,Thailand,P1,Rail,2026-03,11,Low,0.99
LANE-014783,Czech Republic,P9,Ocean,2026-09,28,Medium,0.73
LANE-009199,Italy,P10,Rail,2025-03,11,Medium,1.23
LANE-015883,Thailand,P11,Ocean,2026-09,31,High,0.69
LANE-006044,Brazil,P7,Rail,2026-04,9,Low,0.79
LANE-016081,United Kingdom,P1,Air,2026-09,2,Low,3.76
LANE-006174,Brazil,P9,Truck,2026-02,5,Medium,0.92
LANE-008573,Italy,P2,Truck,2026-03,5,Low,1.41
LANE-000222,United States,P4,Rail,2025-02,11,Low,1.01
LANE-004669,Poland,P2,Ocean,2025-05,33,Low,0.66
LANE-000547,United States,P8,Truck,2026-07,4,High,0.83
LANE-011351,Canada,P2,Rail,2026-09,14,Medium,1.19
LANE-000489,United States,P7,Ocean,2025-05,29,Medium,0.53
LANE-006280,Brazil,P10,Rail,2025-10,13,Low,0.99
LANE-013818,Spain,P9,Ocean,2025-02,28,Medium,
LANE-001941,Germany,P2,Rail,2025-05,9,Low,1.1
LANE-015933,Thailand,P12,Rail,2025-05,11,Medium,0.72
LANE-014129,Czech Republic,P1,Ocean,2025-05,26,Low,0.72
LANE-014951,Czech Republic,P11,Ocean,2026-01,28,Medium,0.58
LANE-011369,Canada,P2,Ocean,2026-05,29,Medium,0.45
LANE-010787,Vietnam,P6,Air,2025-07,2,Low,4.13
LANE-012289,France,P1,Ocean,2026-01,22,Medium,0.87
LANE-015787,Thailand,P10,Rail,2026-01,11,High,0.67
LANE-016963,United Kingdom,P12,Air,2025-01,2,Low,
LANE-014574,Czech Republic,P7,Rail,2025-10,11,Low,0.77
LANE-000901,Mexico,P1,Truck,2026-09,5,Medium,1.13
LANE-008636,Italy,P3,Truck,2025-12,5,Low,1.13
LANE-008209,South Korea,P10,Truck,2025-03,4,Medium,1.11
LANE-012442,France,P3,Ocean,2025-12,34,Low,0.55
LANE-000051,United States,P2,Truck,2025-07,1,Low,1.03
LANE-002231,Germany,P6,Ocean,2025-09,30,High,0.49
LANE-005960,Brazil,P6,Rail,2026-08,12,Medium,0.94
LANE-005107,Poland,P7,Air,2025-03,2,Low,4.07
LANE-013290,Spain,P3,Truck,2025-02,4,Low,1.06
LANE-013847,Spain,P9,Air,2025-09,2,Low,3.89
LANE-011495,Canada,P4,Rail,2025-11,13,Medium,1.05
LANE-009866,Turkey,P6,Air,2025-10,3,Low,4.06
LANE-014213,Czech Republic,P2,Ocean,2025-01,29,Low,0.52
LANE-013222,Spain,P2,Truck,2026-10,4,Low,1.13
LANE-001356,Mexico,P7,Truck,2026-02,5,High,1.56
LANE-008384,South Korea,P12,Truck,2025-02,5,Low,0.89
LANE-003689,India,P1,Ocean,2026-03,20,Low,0.64
LANE-000492,United States,P7,Ocean,2025-08,28,Medium,0.65
LANE-010601,Vietnam,P4,Ocean,2026-07,28,Low,0.48
LANE-009610,Turkey,P3,Ocean,2026-06,23,Low,
LANE-014082,Czech Republic,P1,Truck,2025-02,5,Low,1.46
LANE-007457,Japan,P12,Ocean,2026-09,31,Low,0.58
LANE-015291,Thailand,P4,Ocean,2025-01,27,Low,0.53
