part_id,part_name,part_category,unit_of_measure,unit_cost,lead_time_days,safety_stock_qty,is_critical,min_order_qty,part_status,weight_kg,part_notes
EN-100,Piston Assembly 100,Engine,EA,18.22,45.0,300,False,25.0,Active,2.04,
EN-101,Fuel Injector 101,Engine,EA,103.03,60.0,200,False,50.0,Active,3.85,
EN-102,Oil Pump 102,Engine,EA,7.5,35.0,100,False,50.0,Active,,
EN-103,Cylinder Head 103,Engine,EA,851.23,21.0,25,False,1.0,Active,0.6,
EN-104,Cylinder Head 104,Engine,EA,103.56,35.0,75,False,25.0,Active,0.61,
EN-105,Turbocharger Unit 105,Engine,KG,5.4,28.0,50,True,10.0,Active,0.41,
EN-106,Piston Assembly 106,Engine,KG,4.04,90.0,100,False,5.0,Active,0.63,
EN-107,Crankshaft Sensor Bracket 107,Engine,EA,13.26,7.0,150,False,10.0,Active,4.09,
EN-108,Piston Assembly 108,Engine,L,6.56,35.0,25,False,10.0,Active,0.31,
EN-109,Exhaust Manifold 109,Engine,L,87.33,28.0,200,False,50.0,Active,0.15,
EN-110,Engine Mount 110,Engine,KG,8.16,35.0,75,False,1.0,Active,0.74,
EN-111,Fuel Injector 111,Engine,KG,6.12,45.0,100,False,10.0,Active,0.66,
EN-112,Fuel Injector 112,Engine,EA,6.39,35.0,25,False,1.0,Active,10.66,
EN-113,Piston Assembly 113,Engine,EA,215.97,21.0,500,False,50.0,Active,3.53,
EN-114,Cylinder Head 114,Engine,EA,33.22,75.0,200,False,100.0,Active,6.46,
EN-115,Cylinder Head 115,Engine,EA,6.3,21.0,50,False,50.0,Active,,
EN-116,Crankshaft Sensor Bracket 116,Engine,EA,13.76,75.0,50,False,5.0,Active,2.14,
EN-117,Exhaust Manifold 117,Engine,L,101.87,14.0,200,False,25.0,Active,0.68,
EN-118,Fuel Injector 118,Engine,L,15.23,35.0,50,False,50.0,Active,5.9,
EN-119,Crankshaft Sensor Bracket 119,Engine,EA,8.92,60.0,500,False,5.0,Active,,
EN-120,Cylinder Head 120,Engine,L,20.05,14.0,150,False,1.0,Active,,
EN-121,Crankshaft Sensor Bracket 121,Engine,KG,148.74,28.0,200,False,25.0,Active,0.8,
EN-122,Engine Mount 122,Engine,EA,72.18,45.0,50,False,1.0,Active,0.71,
EN-123,Cylinder Head 123,Engine,L,15.78,60.0,300,False,1.0,NRND,5.2,
EN-124,Air Filter Housing 124,Engine,EA,64.41,60.0,75,False,100.0,NRND,0.29,
EN-125,Exhaust Manifold 125,Engine,EA,33.83,14.0,50,False,5.0,Active,9.72,
EN-126,Oil Pump 126,Engine,EA,8.4,28.0,300,False,50.0,Active,6.66,
EN-127,Fuel Injector 127,Engine,EA,213.42,60.0,150,False,50.0,Active,3.13,
EN-128,Turbocharger Unit 128,Engine,EA,18.95,14.0,500,False,5.0,Active,1.02,
EN-129,Engine Mount 129,Engine,EA,38.77,,300,False,1.0,Active,1.99,
EN-130,Camshaft 130,Engine,EA,30.16,45.0,150,False,10.0,Active,6.5,
EN-131,Oil Pump 131,Engine,L,10.59,28.0,200,False,100.0,Active,48.34,
EN-132,Turbocharger Unit 132,Engine,EA,24.88,21.0,300,True,25.0,Active,0.71,
EN-133,Cylinder Head 133,Engine,EA,86.51,28.0,150,False,50.0,Active,5.95,
EN-134,Camshaft 134,Engine,EA,71.13,7.0,50,False,100.0,Active,1.37,
EN-135,Piston Assembly 135,Engine,EA,79.59,14.0,500,False,100.0,Active,2.91,
EN-136,Piston Assembly 136,Engine,KG,42.85,28.0,150,False,50.0,Active,4.15,
