bom_id,product_id,part_id,qty_per_unit,bom_version,effective_date,is_optional
BOM-000001,HRV-01,CB-692,1,v1.1,2023-09-17,False
BOM-000002,HRV-01,EL-737,2,v2.1,2025-03-29,False
BOM-000003,HRV-01,EN-320,1,v2.0,2023-01-07,False
BOM-000004,HRV-01,EL-343,1,v2.0,2023-08-20,False
BOM-000005,HRV-01,SC-563,8,v2.1,2023-04-24,False
BOM-000006,HRV-01,EN-833,1,v1.2,2024-01-03,False
BOM-000007,HRV-01,FL-881,1,v3.1,2023-04-09,False
BOM-000008,HRV-01,EC-1047,8,v1.1,2024-05-16,False
BOM-000009,HRV-01,EN-1347,3,v2.2,2024-09-28,False
BOM-000010,HRV-01,CB-145,8,v1.2,2023-02-20,False
BOM-000011,HRV-01,SC-1203,1,,2024-11-29,True
BOM-000012,HRV-01,HY-993,1,v2.2,2024-05-23,False
BOM-000013,HRV-01,SC-1018,1,v2.0,2025-03-25,False
BOM-000014,HRV-01,FT-1238,1,v1.0,2023-10-25,False
BOM-000015,HRV-01,BR-698,1,v2.0,2023-01-27,False
BOM-000016,HRV-01,BR-1162,2,v3.1,2024-07-13,False
BOM-000017,HRV-01,EN-1299,1,v3.2,2023-03-19,False
BOM-000018,HRV-01,HY-1011,1,v1.0,2024-08-04,False
BOM-000019,HRV-01,EN-472,1,v1.1,2025-04-11,False
BOM-000020,HRV-01,EN-687,1,v2.2,2023-11-16,False
BOM-000021,HRV-01,EL-999,12,,2023-07-03,False
BOM-000022,HRV-01,BR-1261,2,v1.0,2023-10-01,False
BOM-000023,HRV-01,ST-1017,2,v1.1,2025-05-12,False
BOM-000024,HRV-01,EL-1290,1,v1.0,2025-02-14,False
BOM-000025,HRV-01,BR-477,1,v2.2,2024-05-25,False
BOM-000026,HRV-01,FT-1149,12,,2023-09-21,False
BOM-000027,HRV-01,SC-367,6,v1.1,2023-01-10,False
BOM-000028,HRV-01,EC-432,1,v1.1,2024-06-11,False
BOM-000029,HRV-01,CH-834,1,v3.1,2024-04-24,False
BOM-000030,HRV-01,ST-1203,1,,2024-12-16,False
BOM-000031,HRV-01,CB-673,2,,2023-08-08,False
BOM-000032,HRV-01,HY-418,2,v1.1,2024-02-02,False
BOM-000033,HRV-01,TR-328,1,v1.1,2025-05-22,False
BOM-000034,HRV-01,FT-1124,6,v3.0,2024-02-09,False
BOM-000035,HRV-01,CH-366,1,v1.1,2024-08-29,False
BOM-000036,HRV-01,FL-415,1,,2024-03-30,False
BOM-000037,HRV-01,CH-1120,2,v2.1,2025-04-02,True
BOM-000038,HRV-01,SC-753,1,v1.1,2024-02-14,False
BOM-000039,HRV-01,FT-1058,12,v2.1,2024-08-16,False
BOM-000040,HRV-01,EC-391,1,v2.0,2023-11-27,False
BOM-000041,HRV-01,ST-262,1,v1.1,2025-03-11,False
BOM-000042,HRV-01,FT-887,1,v3.0,2025-02-28,False
BOM-000043,HRV-01,TR-952,4,v2.0,2024-05-07,False
BOM-000044,HRV-01,CH-350,3,v3.0,2023-03-10,False
BOM-000045,HRV-01,HY-673,2,v1.2,2023-10-28,False
BOM-000046,HRV-01,TR-264,1,v2.2,2023-08-25,False
BOM-000047,HRV-01,EL-1340,1,v3.0,2024-12-05,False
BOM-000048,HRV-01,EC-119,1,v3.2,2023-10-07,False
BOM-000049,HRV-01,CB-1039,6,v2.0,2025-04-22,False
BOM-000050,HRV-01,ST-1016,6,v2.0,2024-03-13,False
BOM-000051,HRV-01,BR-132,3,,2023-09-13,False
BOM-000052,HRV-01,SC-856,1,v3.1,,False
BOM-000053,HRV-01,CB-162,3,v2.2,,False
BOM-000054,HRV-01,EN-996,4,v3.0,2025-03-01,False
BOM-000055,HRV-01,CH-1244,1,v2.1,2024-07-03,False
BOM-000056,HRV-01,HY-1245,3,v3.1,2023-02-11,False
BOM-000057,HRV-01,EC-380,1,v3.0,2025-05-06,False
BOM-000058,HRV-01,FL-466,6,v2.2,2025-06-11,False
BOM-000059,HRV-01,EC-1052,3,v3.1,2024-09-30,False
BOM-000060,HRV-01,CH-952,1,v1.0,2024-08-26,False
BOM-000061,HRV-01,CB-857,1,,2024-07-02,False
BOM-000062,HRV-01,EL-123,2,v1.0,2025-04-05,False
BOM-000063,HRV-01,SC-960,1,v3.1,2024-05-25,False
BOM-000064,HRV-01,EC-1278,3,v3.0,2025-06-04,False
BOM-000065,HRV-01,FT-313,1,v1.0,2023-03-25,False
