po_id,supplier_id,part_id,plant_id,po_date,promised_date,po_qty,unit_price,po_status,po_notes
PO-0000001,SUP-06141,ST-511,P3,2025-02-20,2025-04-21,300,12.12,Closed,
PO-0000002,SUP-04145,EL-1328,P8,2026-05-18,2026-07-02,800,32.31,Partial,
PO-0000003,SUP-01852,FL-1133,P11,2025-08-04,2025-08-25,50,106.19,Partial,
PO-0000004,SUP-13910,EL-254,P11,2025-06-28,2025-08-27,800,66.18,Partial,
PO-0000005,SUP-13534,ST-582,P12,2025-06-11,2025-07-11,1200,39.85,Open,
PO-0000006,SUP-07316,CB-790,P7,2024-01-22,2024-02-12,1200,87.92,Partial,
PO-0000007,SUP-01189,EL-354,P6,2024-07-28,2024-09-26,200,50.8,Closed,
PO-0000008,SUP-00844,FT-783,P12,2024-08-10,2024-10-09,800,79.26,Closed,
PO-0000009,SUP-02834,ST-1191,P1,2025-10-21,2025-12-05,500,,Open,
PO-0000010,SUP-07145,CH-803,P8,2024-08-06,,1200,6.24,Closed,
PO-0000011,SUP-08368,FL-218,P4,2025-05-19,2025-06-02,50,49.56,Open,
PO-0000012,SUP-02929,ST-476,P5,2024-10-25,2024-12-24,500,88.36,Open,
PO-0000013,SUP-02526,FL-295,P1,2025-08-20,2025-09-19,100,52.95,Open,
PO-0000014,SUP-13215,CH-1048,P4,2025-10-07,2025-10-21,200,29.86,Closed,
PO-0000015,SUP-06135,EL-681,P6,2026-02-04,2026-02-18,100,28.23,Closed,
PO-0000016,SUP-13542,ST-840,P12,2024-04-27,2024-05-11,300,44.92,Closed,
PO-0000017,SUP-05782,FT-237,P3,2026-04-28,2026-05-28,500,36.15,Closed,
PO-0000018,SUP-12520,FL-1081,P7,2024-02-01,2024-04-01,50,13.59,Closed,
PO-0000019,SUP-02523,EC-950,P3,2026-05-26,2026-06-09,200,70.86,Closed,
PO-0000020,SUP-14483,BR-434,P6,2026-01-27,2026-02-10,50,13.15,Closed,
PO-0000021,SUP-03746,CB-1239,P9,2025-06-18,2025-08-02,200,39.73,Closed,
PO-0000022,SUP-08312,ST-349,P5,2024-08-29,2024-10-28,1200,,Closed,
PO-0000023,SUP-13938,CB-189,P3,2024-04-25,2024-06-24,800,177.63,Partial,
PO-0000024,SUP-03094,CB-798,P1,2024-01-21,2024-02-11,1200,174.24,Closed,
PO-0000025,SUP-14115,FT-616,P11,2025-05-26,2025-06-09,200,176.03,Closed,
PO-0000026,SUP-14408,EN-388,P8,2025-08-09,2025-08-23,800,6.42,Cancelled,
PO-0000027,SUP-05156,EC-1280,P2,2024-08-09,2024-08-23,100,3.9,Closed,
PO-0000028,SUP-00792,FT-1297,P10,2025-10-31,2025-12-15,200,8.36,Closed,
PO-0000029,SUP-05285,EL-887,P3,2025-01-23,2025-03-24,300,31.32,Closed,
PO-0000030,SUP-05405,EC-229,P4,2024-02-24,2024-04-09,500,15.25,Open,
PO-0000031,SUP-09388,EL-867,P1,2025-05-24,2025-07-08,500,27.17,Open,
PO-0000032,SUP-09102,HY-1122,P5,2026-06-11,2026-08-10,800,21.68,Closed,
PO-0000033,SUP-01942,EN-924,P10,2024-09-25,2024-11-24,100,6.3,Closed,
PO-0000034,SUP-12922,BR-571,P11,2024-01-14,2024-02-13,300,4.55,Open,
PO-0000035,SUP-01651,FT-583,P4,2025-11-05,2025-11-19,800,9.25,Late,
PO-0000036,SUP-09790,FT-1170,P2,2026-08-18,2026-09-01,100,27.94,Cancelled,
PO-0000037,SUP-09493,BR-760,P7,2026-03-08,2026-03-29,200,13.12,Closed,
PO-0000038,SUP-05970,EN-219,P5,2024-09-09,2024-10-24,100,54.46,Open,
PO-0000039,SUP-00640,HY-1269,P9,2026-03-13,2026-03-27,300,17.31,Late,
PO-0000040,SUP-11548,EC-201,P9,2025-03-26,2025-04-25,200,13.39,Late,
PO-0000041,SUP-07085,EN-517,P8,2026-01-12,2026-02-02,100,37.39,Closed,
PO-0000042,SUP-11765,EN-1098,P11,2024-01-20,2024-02-19,1200,2.48,Closed,
PO-0000043,SUP-10148,CB-1147,P11,2024-07-01,2024-07-31,50,6.99,Partial,
PO-0000044,SUP-12569,EC-170,P10,2024-11-13,2025-01-12,100,235.37,Closed,
PO-0000045,SUP-08398,CH-716,P11,2025-02-14,2025-03-16,50,494.4,Closed,
PO-0000046,SUP-10926,FL-520,P3,2026-01-22,,800,5.41,Closed,
PO-0000047,SUP-12877,EN-534,P8,2025-06-06,2025-08-05,1200,14.69,Closed,
PO-0000048,SUP-02323,HY-484,P11,2026-02-01,2026-03-18,800,144.61,Late,
PO-0000049,SUP-08590,FL-415,P12,2026-03-07,2026-04-21,300,42.35,Closed,
PO-0000050,SUP-09907,EL-1018,P6,2025-04-10,2025-05-01,500,,Open,
PO-0000051,SUP-03176,SC-809,P2,2025-10-30,2025-11-20,800,3.45,Open,
PO-0000052,SUP-14054,FT-458,P10,2024-04-22,2024-05-22,500,31.34,Closed,
PO-0000053,SUP-13919,HY-113,P5,2026-08-08,,50,31.37,Partial,
PO-0000054,SUP-03111,SC-210,P9,2024-04-15,2024-05-15,500,,Closed,
PO-0000055,SUP-11218,FT-211,P1,2025-11-25,2025-12-16,500,12.33,Open,
PO-0000056,SUP-14057,EN-254,P10,2025-02-23,2025-03-16,1200,,Cancelled,
PO-0000057,SUP-10073,BR-826,P6,2025-05-27,2025-06-26,500,6.06,Closed,
PO-0000058,SUP-08588,TR-676,P3,2025-09-04,,800,,Closed,
PO-0000059,SUP-01675,CH-841,P12,2024-09-23,2024-11-07,300,24.55,Late,
PO-0000060,SUP-00605,CH-806,P3,2025-04-06,2025-06-05,200,17.55,Closed,
PO-0000061,SUP-00301,CB-1105,P6,2025-09-01,2025-10-16,50,5.01,Cancelled,
PO-0000062,SUP-03237,SC-1260,P4,2025-11-07,2025-11-21,300,13.69,Open,
PO-0000063,SUP-07424,TR-795,P11,2026-04-19,2026-05-10,100,14.41,Closed,
PO-0000064,SUP-12719,EC-643,P8,2024-10-09,2024-10-23,500,4.21,Open,
