quality_event_id,part_id,supplier_id,batch_id,event_date,event_type,severity,disposition_status,affected_qty
QE-0000001,EL-499,SUP-02799,BATCH-EL-499-20260204-3,2026-02-04,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000002,ST-1175,SUP-06560,BATCH-ST-1175-20251126-2,2025-11-26,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000003,EL-934,SUP-05222,BATCH-EL-934-20240811-8,2024-08-11,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000004,EC-882,SUP-10828,BATCH-EC-882-20260425-7,2026-04-25,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000005,SC-739,SUP-14685,BATCH-SC-739-20240620-4,2024-06-20,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000006,FT-1241,SUP-06416,BATCH-FT-1241-20260312-3,2026-03-12,Defect,Low,Approved for Use,100
QE-0000007,CB-193,SUP-08238,BATCH-CB-193-20260725-4,2026-07-25,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000008,FL-446,SUP-01161,BATCH-FL-446-20251129-7,2025-11-29,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000009,FL-958,SUP-07279,BATCH-FL-958-20260322-5,2026-03-22,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000010,FL-1135,SUP-13263,BATCH-FL-1135-20250912-8,2025-09-12,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000011,ST-897,SUP-03066,BATCH-ST-897-20241224-8,2024-12-24,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000012,EL-1253,SUP-08331,BATCH-EL-1253-20240302-8,2024-03-02,Hold,Low,Closed,50
QE-0000013,TR-328,SUP-07892,BATCH-TR-328-20260403-1,2026-04-03,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000014,EC-307,SUP-09259,BATCH-EC-307-20240814-3,2024-08-14,Hold,Low,Approved for Use,50
QE-0000015,SC-792,SUP-12181,BATCH-SC-792-20250520-5,2025-05-20,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000016,CB-726,SUP-14049,BATCH-CB-726-20250523-3,2025-05-23,Incoming Inspection Pass,Not Applicable,,0
QE-0000017,EN-648,SUP-06893,BATCH-EN-648-20260510-3,2026-05-10,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000018,FT-1113,SUP-02662,BATCH-FT-1113-20260516-4,2026-05-16,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000019,CH-1056,SUP-00720,BATCH-CH-1056-20260303-4,2026-03-03,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000020,FL-797,SUP-00290,BATCH-FL-797-20250906-6,2025-09-06,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000021,CH-203,SUP-08081,BATCH-CH-203-20240802-4,2024-08-02,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000022,FL-972,SUP-10216,BATCH-FL-972-20260310-3,2026-03-10,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000023,CH-229,SUP-06015,BATCH-CH-229-20260404-3,2026-04-04,Hold,Low,,10
QE-0000024,CH-633,SUP-01989,BATCH-CH-633-20250921-5,2025-09-21,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000025,EL-1018,SUP-09907,BATCH-EL-1018-20260429-2,2026-04-29,Incoming Inspection Pass,Not Applicable,Closed,0
QE-0000026,CB-259,SUP-11748,BATCH-CB-259-20240917-6,2024-09-17,Hold,Medium,Under Investigation,500
QE-0000027,CH-344,SUP-00093,BATCH-CH-344-20251224-2,2025-12-24,Deviation Approved,Critical,Closed,25
QE-0000028,TR-725,SUP-12076,BATCH-TR-725-20251012-2,2025-10-12,Incoming Inspection Pass,Not Applicable,Closed,0
