shipment_id,po_id,lane_id,carrier,ship_date,eta_date,actual_arrival_date,shipment_qty,shipment_status
SHP-0000001,PO-0017949,LANE-008843,Meridian Logistics,2024-08-04,2024-09-09,2024-09-06,800,Delivered
SHP-0000002,PO-0012758,LANE-005594,EuroFreight Express,2026-04-09,2026-04-14,2026-04-12,200,Delivered
SHP-0000003,PO-0020393,LANE-016075,BlueLine Transport,2024-01-28,2024-01-31,2024-01-30,50,Delivered
SHP-0000004,PO-0022647,LANE-001684,Ironhide Trucking,2025-02-23,2025-02-27,2025-03-02,800,Delivered
SHP-0000005,PO-0025771,LANE-001321,,2025-07-16,2025-07-19,2025-07-19,300,Delivered
SHP-0000006,PO-0000311,LANE-002179,Continental Cargo,2025-12-14,2025-12-18,2025-12-15,1200,Delivered
SHP-0000007,PO-0006792,LANE-002785,Meridian Logistics,2024-07-11,2024-07-17,2024-07-16,200,Delivered
SHP-0000008,PO-0010275,LANE-015648,Ironhide Trucking,2025-11-17,2025-11-20,2025-11-19,1200,Delivered
SHP-0000009,PO-0017092,LANE-011982,Atlas Intermodal,2024-11-07,2024-11-12,2024-11-12,50,Partial
SHP-0000010,PO-0008986,LANE-008058,Meridian Logistics,2024-12-06,2024-12-17,2024-12-18,800,Delivered
SHP-0000011,PO-0009893,LANE-000179,Atlas Intermodal,2025-11-25,2025-11-26,2025-11-23,50,Delivered
SHP-0000012,PO-0025740,LANE-012092,EuroFreight Express,2024-01-16,2024-01-29,2024-01-28,1200,Delivered
SHP-0000013,PO-0014015,LANE-015491,EuroFreight Express,2026-05-21,2026-05-25,2026-05-22,800,Delivered
SHP-0000014,PO-0001023,LANE-014232,TransGlobal Freight,2024-05-04,2024-06-06,,300,In Transit
SHP-0000015,PO-0024352,LANE-014956,Continental Cargo,2024-09-06,2024-09-30,2024-09-29,800,Delivered
SHP-0000016,PO-0001756,LANE-003225,EuroFreight Express,2024-10-01,2024-10-06,,500,Delayed
SHP-0000017,PO-0026073,LANE-005821,EuroFreight Express,2025-09-14,2025-09-30,2025-09-27,50,Delivered
SHP-0000018,PO-0009681,LANE-007803,Pacific Rim Shipping,2024-07-02,2024-07-05,2024-07-06,50,Delivered
SHP-0000019,PO-0014406,LANE-008288,EuroFreight Express,2026-04-07,2026-04-09,,1200,In Transit
