substitution_id,original_part_id,substitute_part_id,compatibility_scope,approval_status,approval_date,limited_compatibility_flag,compatibility_notes
SUB-000001,SC-417,SC-514,Tillage,Approved with Limited Compatibility,,True,
SUB-000002,SC-417,SC-273,Sprayer,Approved,2023-01-30,False,
SUB-000003,FL-383,FL-150,Sprayer,Approved,2023-04-12,False,
SUB-000004,FL-383,FL-694,Sprayer,Pending,2024-12-26,False,
SUB-000005,FL-383,FL-1296,Planter,Rejected,2024-10-20,False,
SUB-000006,EC-1016,EC-1239,Sprayer,Pending,2023-12-03,False,
SUB-000007,EC-1016,EC-312,Tillage,Approved,2023-08-02,False,
SUB-000008,EC-1016,EC-1238,Tillage,Approved with Limited Compatibility,2024-03-18,True,
SUB-000009,EC-1016,EC-818,All Platforms,Approved,2023-03-04,False,
SUB-000010,EL-901,EL-360,Planter,Rejected,2025-07-27,False,
SUB-000011,EL-901,EL-1255,Harvester,Approved,2025-03-04,False,
SUB-000012,TR-515,TR-1232,Sprayer,Approved with Limited Compatibility,2023-06-24,True,
SUB-000013,TR-515,TR-1159,Harvester,Approved,2025-04-06,False,
SUB-000014,EN-537,EN-450,Sprayer,Approved with Limited Compatibility,2025-04-26,True,
SUB-000015,CB-614,CB-718,Sprayer,Approved,2024-10-19,False,
SUB-000016,CB-614,CB-127,All Platforms,Pending,2023-04-14,False,
SUB-000017,EC-833,EC-575,All Platforms,Approved with Limited Compatibility,2023-08-28,True,
SUB-000018,EC-833,EC-563,Combine,Approved,2025-03-28,False,
SUB-000019,EC-833,EC-354,Harvester,Approved,2023-11-30,False,
SUB-000020,HY-646,HY-895,Planter,Approved,2024-11-02,False,
SUB-000021,EL-705,EL-1130,Tractor,Approved,2023-07-23,False,
SUB-000022,EL-705,EL-1061,Planter,Approved with Limited Compatibility,2025-01-09,True,
SUB-000023,TR-406,TR-414,Tillage,Rejected,2024-08-26,False,
SUB-000024,TR-193,TR-749,Sprayer,Approved,2023-07-27,False,
SUB-000025,TR-193,TR-927,Baler,Approved with Limited Compatibility,2025-03-29,True,
SUB-000026,BR-1320,BR-1193,Sprayer,Pending,2024-09-26,False,
SUB-000027,BR-1320,BR-962,Sprayer,Approved with Limited Compatibility,2024-12-21,True,
SUB-000028,BR-1320,BR-1313,Sprayer,Approved,2025-02-06,False,
SUB-000029,BR-1320,BR-1259,All Platforms,Pending,2024-09-04,False,
SUB-000030,CB-220,CB-230,Harvester,Approved with Limited Compatibility,2023-12-22,True,
SUB-000031,CB-220,CB-811,Sprayer,Approved,,False,
SUB-000032,EC-419,EC-1038,All Platforms,Approved with Limited Compatibility,2024-06-26,True,
SUB-000033,EC-419,EC-870,Sprayer,Approved,2025-03-30,False,
SUB-000034,EC-419,EC-940,Harvester,Pending,,False,
SUB-000035,FT-603,FT-327,Sprayer,Approved with Limited Compatibility,2024-05-02,True,
SUB-000036,FT-603,FT-232,All Platforms,Approved,2023-01-20,False,
SUB-000037,ST-942,ST-1147,Combine,Pending,2025-08-31,False,
SUB-000038,HY-522,HY-815,Tillage,Approved,2024-03-20,False,
