capacity_id,supplier_id,part_id,period,capacity_units,committed_units,utilization_pct,capacity_notes
CAP-000001,SUP-00042,SC-417,2024-01,643,364.0,56.6,
CAP-000002,SUP-00042,SC-417,2024-02,568,456.0,80.3,
CAP-000003,SUP-00042,SC-417,2024-03,578,517.0,89.4,
CAP-000004,SUP-00042,SC-417,2024-04,625,401.0,64.2,
CAP-000005,SUP-00042,SC-417,2024-05,631,536.0,84.9,
CAP-000006,SUP-00042,SC-417,2024-06,607,598.0,98.5,
CAP-000007,SUP-00042,SC-417,2024-07,567,324.0,57.1,
CAP-000008,SUP-00042,SC-417,2024-08,609,548.0,90.0,
CAP-000009,SUP-00042,SC-417,2024-09,585,559.0,95.6,
CAP-000010,SUP-00042,SC-417,2024-10,616,582.0,94.5,
CAP-000011,SUP-00042,SC-417,2024-11,640,442.0,69.1,
CAP-000012,SUP-00042,SC-417,2024-12,652,633.0,97.1,
CAP-000013,SUP-00042,SC-417,2025-01,683,506.0,74.1,
CAP-000014,SUP-00042,SC-417,2025-02,687,680.0,,
CAP-000015,SUP-00042,SC-417,2025-03,648,372.0,57.4,
CAP-000016,SUP-00042,SC-417,2025-04,688,563.0,81.8,
CAP-000017,SUP-00042,SC-417,2025-05,679,455.0,67.0,
CAP-000018,SUP-00042,SC-417,2025-06,694,697.0,100.0,
CAP-000019,SUP-00042,SC-417,2025-07,703,,61.9,
CAP-000020,SUP-00042,SC-417,2025-08,737,457.0,62.0,
CAP-000021,SUP-00042,SC-417,2025-09,764,538.0,70.4,
CAP-000022,SUP-00042,SC-417,2025-10,693,429.0,61.9,
CAP-000023,SUP-00042,SC-417,2025-11,703,651.0,92.6,
CAP-000024,SUP-00042,SC-417,2025-12,711,,75.4,
CAP-000025,SUP-00042,SC-417,2026-01,420,430.0,102.4,Upstream semiconductor allocation constraint reported by supplier
CAP-000026,SUP-00042,SC-417,2026-02,380,400.0,105.3,Upstream semiconductor allocation constraint reported by supplier
CAP-000027,SUP-00042,SC-417,2026-03,340,375.0,110.3,Upstream semiconductor allocation constraint reported by supplier
CAP-000028,SUP-00042,SC-417,2026-04,300,,123.3,Upstream semiconductor allocation constraint reported by supplier
CAP-000029,SUP-13766,EC-412,2024-01,1148,803.0,69.9,
CAP-000030,SUP-13766,EC-412,2024-02,1263,1200.0,95.0,
CAP-000031,SUP-13766,EC-412,2024-03,1195,714.0,,
CAP-000032,SUP-13766,EC-412,2024-04,1187,964.0,81.2,
CAP-000033,SUP-13766,EC-412,2024-05,1173,1092.0,93.1,
CAP-000034,SUP-13766,EC-412,2024-06,1131,945.0,83.6,
CAP-000035,SUP-13766,EC-412,2024-07,1235,1041.0,84.3,
CAP-000036,SUP-13766,EC-412,2024-08,1156,682.0,59.0,
CAP-000037,SUP-13766,EC-412,2024-09,1160,1183.0,100.0,
CAP-000038,SUP-13766,EC-412,2024-10,1071,811.0,75.7,
CAP-000039,SUP-13766,EC-412,2024-11,1146,1027.0,89.6,
CAP-000040,SUP-13766,EC-412,2024-12,1226,1061.0,86.5,
CAP-000041,SUP-13766,EC-412,2025-01,1139,791.0,69.4,
CAP-000042,SUP-13766,EC-412,2025-02,1168,920.0,78.8,
CAP-000043,SUP-13766,EC-412,2025-03,1146,761.0,66.4,
CAP-000044,SUP-13766,EC-412,2025-04,1139,834.0,73.2,
CAP-000045,SUP-13766,EC-412,2025-05,1159,1211.0,,
CAP-000046,SUP-13766,EC-412,2025-06,1225,1199.0,97.9,
CAP-000047,SUP-13766,EC-412,2025-07,1160,912.0,78.6,
CAP-000048,SUP-13766,EC-412,2025-08,1186,962.0,81.1,
CAP-000049,SUP-13766,EC-412,2025-09,1180,961.0,81.4,
CAP-000050,SUP-13766,EC-412,2025-10,1209,1109.0,91.7,
CAP-000051,SUP-13766,EC-412,2025-11,1185,662.0,55.9,
CAP-000052,SUP-13766,EC-412,2025-12,1176,1063.0,90.4,
CAP-000053,SUP-13766,EC-412,2026-01,1130,1001.0,88.6,
CAP-000054,SUP-13766,EC-412,2026-02,1199,945.0,78.8,
CAP-000055,SUP-13766,EC-412,2026-03,1257,888.0,70.6,
CAP-000056,SUP-13766,EC-412,2026-04,1104,685.0,62.0,
CAP-000057,SUP-04527,EN-266,2024-01,2001,1433.0,71.6,
CAP-000058,SUP-04527,EN-266,2024-02,1974,1620.0,82.1,
CAP-000059,SUP-04527,EN-266,2024-03,2063,1609.0,78.0,
CAP-000060,SUP-04527,EN-266,2024-04,1925,1236.0,64.2,
CAP-000061,SUP-04527,EN-266,2024-05,1881,1184.0,62.9,
CAP-000062,SUP-04527,EN-266,2024-06,2025,1122.0,55.4,
CAP-000063,SUP-04527,EN-266,2024-07,1895,1589.0,83.9,
CAP-000064,SUP-04527,EN-266,2024-08,1975,1297.0,65.7,
CAP-000065,SUP-04527,EN-266,2024-09,1891,1402.0,74.1,
CAP-000066,SUP-04527,EN-266,2024-10,2059,1138.0,,
CAP-000067,SUP-04527,EN-266,2024-11,2043,2110.0,100.0,
CAP-000068,SUP-04527,EN-266,2024-12,2048,2045.0,,
CAP-000069,SUP-04527,EN-266,2025-01,2091,,56.7,
CAP-000070,SUP-04527,EN-266,2025-02,2024,1779.0,87.9,
CAP-000071,SUP-04527,EN-266,2025-03,2013,1472.0,73.1,
CAP-000072,SUP-04527,EN-266,2025-04,1932,,81.8,
CAP-000073,SUP-04527,EN-266,2025-05,2019,1364.0,67.6,
CAP-000074,SUP-04527,EN-266,2025-06,1945,1516.0,77.9,
CAP-000075,SUP-04527,EN-266,2025-07,2033,1318.0,64.8,
CAP-000076,SUP-04527,EN-266,2025-08,2031,2083.0,100.0,
CAP-000077,SUP-04527,EN-266,2025-09,1880,1763.0,93.8,
CAP-000078,SUP-04527,EN-266,2025-10,1950,1596.0,81.8,
CAP-000079,SUP-04527,EN-266,2025-11,1902,1323.0,69.6,
CAP-000080,SUP-04527,EN-266,2025-12,2274,1643.0,72.3,
CAP-000081,SUP-04527,EN-266,2026-01,2079,1784.0,85.8,
CAP-000082,SUP-04527,EN-266,2026-02,1989,1231.0,61.9,
CAP-000083,SUP-04527,EN-266,2026-03,1950,1147.0,58.8,
CAP-000084,SUP-04527,EN-266,2026-04,2092,1684.0,80.5,
CAP-000085,SUP-13610,CH-113,2024-01,1219,,67.2,
CAP-000086,SUP-13610,CH-113,2024-02,1187,1100.0,92.7,
CAP-000087,SUP-13610,CH-113,2024-03,1218,744.0,61.1,
CAP-000088,SUP-13610,CH-113,2024-04,1118,750.0,67.1,
CAP-000089,SUP-13610,CH-113,2024-05,1203,1074.0,89.3,
CAP-000090,SUP-13610,CH-113,2024-06,1272,711.0,55.9,
CAP-000091,SUP-13610,CH-113,2024-07,1237,767.0,62.0,
CAP-000092,SUP-13610,CH-113,2024-08,1129,1026.0,90.9,
CAP-000093,SUP-13610,CH-113,2024-09,1112,964.0,86.7,
CAP-000094,SUP-13610,CH-113,2024-10,1212,909.0,75.0,
CAP-000095,SUP-13610,CH-113,2024-11,1030,949.0,92.1,
CAP-000096,SUP-13610,CH-113,2024-12,1153,792.0,68.7,
CAP-000097,SUP-13610,CH-113,2025-01,1185,952.0,80.3,
CAP-000098,SUP-13610,CH-113,2025-02,1204,882.0,73.3,
CAP-000099,SUP-13610,CH-113,2025-03,1293,877.0,67.8,
CAP-000100,SUP-13610,CH-113,2025-04,1200,906.0,75.5,
CAP-000101,SUP-13610,CH-113,2025-05,1131,800.0,70.7,
