supplier_id,supplier_name,supplier_country,supplier_region,supplier_tier,risk_rating,onboarding_date,certification_status,payment_terms,active_flag,supplier_notes
SUP-00001,Meridian Precision Components,South Korea,Asia-Pacific,Tier1,Low,2024-02-22,Not Certified,Net60,True,
SUP-00002,Windsor Components Group,United States,North America,Tier2,High,2022-04-10,Pending,Net30,False,
SUP-00003,Summit Machining,Canada,North America,Tier3,Low,2024-05-28,ISO9001,Net45,True,
SUP-00004,Pioneer Industries,United States,North America,Tier2,Low,2016-05-06,ISO9001,Net45,True,
SUP-00005,Windsor Components Group,,North America,Tier3,Medium-High,2019-03-29,ISO9001,Net60,True,
SUP-00006,Ironclad Machining,Poland,Europe,Tier1,Medium,2025-03-22,ISO9001,Net60,False,
SUP-00007,Beacon Machining,India,Asia-Pacific,Tier3,Medium-High,2019-08-12,Not Certified,Net30,True,
SUP-00008,Beacon Sensor Systems,Poland,Europe,Tier2,Low,2018-06-10,ISO9001,Net60,True,
SUP-00009,Delta Electronics,Germany,Europe,Tier2,Low,2021-02-14,Pending,Net30,True,
SUP-00010,Keystone Metalworks,Germany,Europe,Tier3,Low,2024-07-15,ISO9001,Net60,True,
SUP-00011,Beacon Tooling,India,Asia-Pacific,Tier3,Medium,2018-09-18,ISO9001,Net60,True,
SUP-00012,Granite Forge Works,,Asia-Pacific,Tier1,Medium,2019-07-28,ISO9001,Net45,True,
SUP-00013,Compass Electronics,South Korea,Asia-Pacific,Tier3,High,2017-10-08,ISO9001,Net30,True,
SUP-00014,Vertex Fabrication,Mexico,North America,Tier2,Low,2024-12-21,Pending,Net30,True,
SUP-00015,Meridian Tooling,Japan,Asia-Pacific,Tier2,Medium,2022-07-20,Pending,Net30,False,
SUP-00016,Ironclad Tooling,Poland,Europe,Tier2,Medium,2021-02-11,ISO9001,Net60,True,
SUP-00017,Ironclad Electronics,United States,North America,Tier2,Medium-High,2025-03-02,ISO9001,Net45,True,
SUP-00018,Summit Hydraulics,United States,North America,Tier2,Medium-High,2018-01-02,ISO9001,Net30,False,
SUP-00019,Crestline Castings,Japan,Asia-Pacific,Tier2,Medium-High,2025-02-14,IATF16949,Net45,False,
SUP-00020,Cascade Fabrication,Spain,Europe,Tier2,Medium,2025-07-26,ISO9001,Net30,True,
SUP-00021,Compass Electronics,China,Asia-Pacific,Tier1,Low,2024-06-01,ISO9001,Net30,True,
SUP-00022,Beacon Castings,China,Asia-Pacific,Tier1,Medium,2017-02-16,ISO9001,Net45,True,
SUP-00023,Falcon Assemblies,India,Asia-Pacific,Tier2,Medium,2017-03-10,IATF16949,,True,
SUP-00024,Crestline Electronics,China,Asia-Pacific,Tier1,Medium,2015-01-15,Not Certified,Net30,True,
SUP-00025,Vantage Sensor Systems,Italy,Europe,Tier2,Medium,2018-11-19,,Net30,True,
SUP-00026,Keystone Sensor Systems,United States,North America,Tier1,High,2017-12-15,IATF16949,Net30,True,
SUP-00027,Crestline Sensor Systems,Germany,Europe,Tier2,Medium,2024-02-05,Pending,Net30,True,
SUP-00028,Crestline Precision Components,United States,North America,Tier1,Medium-High,2018-05-03,IATF16949,Net60,True,
SUP-00029,Falcon Forge Works,China,Asia-Pacific,Tier1,Medium-High,2021-09-13,IATF16949,Net30,True,
SUP-00030,Vantage Castings,Brazil,South America,Tier1,Medium-High,2022-10-01,ISO9001,Net30,False,
SUP-00031,Beacon Hydraulics,France,Europe,Tier2,Low,2025-09-29,ISO9001,Net30,True,
SUP-00032,Keystone Industries,United States,North America,Tier2,Low,2017-08-17,Not Certified,,True,
SUP-00033,Sterling Industries,Germany,Europe,Tier1,Medium,2016-10-10,,Net45,True,
SUP-00034,Meridian Hydraulics,United States,North America,Tier1,Medium,2025-07-22,Pending,Net30,False,
SUP-00035,Beacon Machining,France,Europe,Tier2,Medium,2024-06-27,ISO9001,Net30,False,
SUP-00036,Sterling Forge Works,Germany,Europe,Tier3,Low,2022-08-30,ISO9001,Net45,True,
SUP-00037,Harbor Metalworks,Italy,Europe,Tier3,Low,2020-01-31,ISO9001,Net60,True,
SUP-00038,Union Castings,Mexico,North America,Tier3,Medium-High,2018-06-22,IATF16949,,True,
SUP-00039,Titan Supply Co.,China,Asia-Pacific,Tier1,,2024-06-27,ISO9001,Net30,True,
SUP-00040,Anchor Fabrication,Mexico,North America,Tier2,High,2022-06-02,ISO9001,Net30,True,
SUP-00041,Summit Tooling,Germany,Europe,Tier3,Medium,2017-04-24,ISO9001,Net30,True,
SUP-00042,NorthStar Sensor Systems,Mexico,North America,Tier1,Medium-High,2020-01-11,IATF16949,Net45,True,
SUP-00043,Union Sensor Systems,Czech Republic,Europe,Tier1,Medium-High,2019-07-13,ISO9001,Net30,True,
SUP-00044,Keystone Precision Components,United States,North America,Tier2,Medium,2024-12-15,ISO9001,Net60,True,
SUP-00045,Pioneer Supply Co.,Japan,Asia-Pacific,Tier2,Medium,2025-03-27,Pending,,True,
SUP-00046,Crestline Industries,United Kingdom,Europe,Tier2,Low,2016-08-19,Not Certified,Net45,True,
SUP-00047,Beacon Hydraulics,United States,North America,Tier1,Medium-High,2018-07-30,IATF16949,Net30,True,
SUP-00048,Granite Industries,China,Asia-Pacific,Tier2,Medium,2015-02-03,ISO9001,Net30,True,
SUP-00049,Ironclad Precision Components,Czech Republic,Europe,Tier1,Low,2020-03-01,ISO9001,Net30,True,
SUP-00050,Cascade Forge Works,Mexico,North America,Tier1,Low,2017-12-24,Pending,Net60,True,
SUP-00051,Compass Supply Co.,China,Asia-Pacific,Tier3,Low,2023-04-14,ISO9001,Net30,True,
SUP-00052,Pioneer Supply Co.,China,Asia-Pacific,Tier1,,2024-06-09,IATF16949,Net30,False,
SUP-00053,Horizon Sensor Systems,India,Asia-Pacific,Tier3,Medium-High,2023-03-06,Pending,Net45,False,
SUP-00054,Cascade Electronics,Canada,North America,Tier2,Low,2016-10-06,Not Certified,Net30,True,
SUP-00055,Beacon Components Group,Vietnam,Asia-Pacific,Tier2,Low,2019-06-20,IATF16949,Net45,False,
SUP-00056,Vantage Metalworks,United States,North America,Tier3,High,2018-10-15,IATF16949,Net30,True,
SUP-00057,Summit Industries,United States,North America,Tier1,Low,2015-07-30,Not Certified,Net30,True,
SUP-00058,Vantage Tooling,Mexico,North America,Tier2,Low,2023-11-25,ISO9001,Net30,True,
SUP-00059,Titan Supply Co.,United States,North America,Tier2,Medium,2024-08-14,ISO9001,Net30,True,
SUP-00060,Summit Assemblies,United States,North America,Tier2,Medium,2020-04-04,IATF16949,Net30,False,
SUP-00061,Atlas Hydraulics,Mexico,North America,Tier1,Low,2016-09-13,Pending,Net30,True,
SUP-00062,Windsor Castings,China,Asia-Pacific,Tier2,Medium-High,2021-11-25,Pending,Net30,False,
SUP-00063,Horizon Machining,China,Asia-Pacific,Tier1,Low,2023-09-23,Pending,Net30,True,
SUP-00064,Keystone Sensor Systems,Mexico,North America,Tier2,Medium-High,2017-12-12,ISO9001,Net45,True,
SUP-00065,Summit Sensor Systems,Thailand,Asia-Pacific,Tier2,Medium,2025-04-29,ISO9001,Net45,True,
SUP-00066,Ironclad Forge Works,Vietnam,Asia-Pacific,Tier2,High,2017-08-12,Not Certified,Net60,True,
SUP-00067,Ironclad Fabrication,United States,North America,Tier1,Medium,2018-07-09,Pending,Net30,False,
SUP-00068,Harbor Sensor Systems,Mexico,North America,Tier2,Medium,2016-03-26,ISO9001,Net60,False,
SUP-00069,Compass Forge Works,Spain,Europe,Tier1,Medium-High,2018-06-07,Pending,Net30,True,
SUP-00070,Compass Metalworks,United Kingdom,Europe,Tier2,Medium,2022-04-16,ISO9001,Net45,True,
SUP-00071,Ironclad Supply Co.,Brazil,South America,Tier2,Low,2024-03-01,Not Certified,Net45,True,
SUP-00072,Granite Machining,United States,North America,Tier3,Low,2015-04-23,IATF16949,Net45,True,
SUP-00073,Falcon Forge Works,Japan,Asia-Pacific,Tier1,Medium,2024-04-16,IATF16949,Net60,True,
SUP-00074,Compass Supply Co.,Poland,Europe,Tier2,Low,2021-09-21,IATF16949,,True,
SUP-00075,Anchor Tooling,United States,North America,Tier1,Medium-High,2021-03-01,IATF16949,Net30,True,
SUP-00076,Union Tooling,China,Asia-Pacific,Tier2,Medium,2024-12-29,Not Certified,Net45,True,
SUP-00077,Vertex Hydraulics,Germany,Europe,Tier1,High,2024-04-06,IATF16949,Net30,False,
SUP-00078,Windsor Sensor Systems,Germany,Europe,Tier1,Medium,2020-10-30,ISO9001,Net30,True,
SUP-00079,Vantage Supply Co.,Turkey,Europe,Tier2,Low,2016-09-05,ISO9001,Net30,True,
SUP-00080,Bluewater Tooling,United States,North America,Tier2,Low,2019-12-31,Not Certified,Net60,True,
SUP-00081,Titan Electronics,United Kingdom,Europe,Tier1,Low,2022-11-11,IATF16949,Net30,True,
